,name,url,price,product_code,img_url,size,category_path,img_file
0,Knife Br Rice Bran Oil 2LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=75136&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,7.75,75136.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13026782_M1.jpg,,Groceries->Oil->Others,13026782_M1.jpg
1,FairPrice Peanut Oil 2LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=75704&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,9.5,75704.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13042804_M1.jpg,,Groceries->Oil->Others,13042804_M1.jpg
2,FairPrice Rice Bran Oil 3LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=74398&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,10.8,74398.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13008384_M1.jpg,,Groceries->Oil->Others,13008384_M1.jpg
3,Rice Field 100 Pure Rice Bran Oil 5LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=73476&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=13610&storeId=10001,21.35,73476.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12361874_M1.jpg,,Groceries->Oil->Others,12361874_M1.jpg
4,Cock Brand 100 Pure Groundnut Oil  2LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=73308&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,10.95,73308.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12254622_M1.jpg,,Groceries->Oil->Others,12254622_M1.jpg
5,King Rooster Cooking Oil 500ML,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=73224&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,2.2,73224.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12201299_M1.jpg,,Groceries->Oil->Others,12201299_M1.jpg
6,Naturel Premium Blend Of Canola  Sunflower Oil 1LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=25222&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,5.9,25222.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12198042_M1.jpg,,Groceries->Oil->Others,12198042_M1.jpg
7,Naturel Premium Blend Of Canola  Sunflower Oil  2LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=25106&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,8.5,25106.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12176177_M1.jpg,,Groceries->Oil->Others,12176177_M1.jpg
8,FairPrice Olive Oil - Sunflower  Extra Virgin 1LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=21392&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,5.95,21392.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11449049_M1.jpg,,Groceries->Oil->Others,11449049_M1.jpg
9,FairPrice - Grapeseed Oil 1LT,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13610&productId=21390&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13548&storeId=10001,8.95,21390.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11448142_M1.jpg,,Groceries->Oil->Others,11448142_M1.jpg
