,level,node_parent,node_name,node_label
0,0.0,,Groceries,0.0
1,1.0,0.0,Oil,1.0
2,2.0,1.0,Others,2.0
3,1.0,0.0,Noodles,3.0
4,2.0,3.0,Vermicelli,4.0
5,0.0,,Chilled & Frozen,5.0
6,1.0,5.0,Frozen Meat & Fish,6.0
7,2.0,6.0,Seafood,7.0
8,0.0,,Fresh Food,8.0
9,1.0,8.0,Fruits,9.0
10,2.0,9.0,Exotic Fruits,10.0
11,1.0,0.0,Canned Food,11.0
12,2.0,11.0,Canned Vegetables,12.0
13,1.0,0.0,Dried Food,13.0
14,2.0,13.0,Beans,14.0
15,1.0,5.0,Processed Seafood,15.0
16,2.0,15.0,Otah,16.0
17,0.0,,Health & Beauty,17.0
18,2.0,2.0,Adult Diapers,18.0
19,1.0,5.0,Milk & Yoghurt,19.0
20,2.0,19.0,Chilled Milk,20.0
21,0.0,,General Merchandise,21.0
22,1.0,21.0,Batteries,22.0
23,2.0,22.0,Rechargeable,23.0
24,1.0,5.0,Frozen Others,24.0
25,2.0,24.0,Bread,25.0
26,1.0,8.0,Vegetables,26.0
27,2.0,26.0,Root Vegetables,27.0
28,1.0,5.0,Dairy Spreads,28.0
29,2.0,28.0,Cream,29.0
30,0.0,,Baby Needs,30.0
31,1.0,30.0,Baby Care,31.0
32,2.0,31.0,Baby Medication,32.0
33,1.0,8.0,Prepacked Food,33.0
34,2.0,33.0,Tofu,34.0
35,1.0,17.0,Facial Care,35.0
36,2.0,35.0,Shavers,36.0
37,1.0,0.0,Rice,37.0
38,2.0,37.0,White Rice,38.0
39,0.0,,Beverages & Snacks,39.0
40,1.0,39.0,Beverages,40.0
41,2.0,40.0,UHT & Packaged Milk,41.0
42,2.0,1.0,Olive Oil,42.0
43,0.0,,Home Care,43.0
44,1.0,43.0,Home Cleaners,44.0
45,2.0,44.0,Disinfectant,45.0
46,1.0,30.0,Baby Accessories,46.0
47,2.0,46.0,Cleansing Brush,47.0
48,1.0,43.0,Powder Detergent,48.0
49,2.0,48.0,Regular,49.0
50,0.0,,Housebrand,50.0
51,1.0,50.0,Homeproud,51.0
52,2.0,35.0,For Him,52.0
53,1.0,50.0,Fairprice,53.0
54,1.0,43.0,Liquid Detergent,54.0
55,2.0,54.0,Concentrate,55.0
56,1.0,17.0,Body Care,56.0
57,2.0,56.0,Bar Soap,57.0
58,0.0,,Beer & Wine,58.0
59,2.0,26.0,Temperate Vegetables,59.0
60,2.0,33.0,Ready Meals & Soups,60.0
61,1.0,17.0,Health Food,61.0
62,2.0,61.0,Vitamins,62.0
63,1.0,5.0,Processed Meat,63.0
64,2.0,63.0,Ham & Franks,64.0
65,1.0,43.0,Dishwashing,65.0
66,2.0,65.0,Anti-Bacterial,66.0
67,2.0,25.0,Cakes & Snacks,67.0
68,1.0,43.0,Air Fresheners,68.0
69,2.0,68.0,Dehumidifier,69.0
70,2.0,11.0,Canned Seafood,70.0
71,1.0,21.0,Pet Food,71.0
72,2.0,71.0,For Cats,72.0
73,1.0,0.0,Soups,73.0
74,2.0,73.0,Western Soup,74.0
75,2.0,31.0,Baby Laundry Care,75.0
76,2.0,44.0,Cleaning Accessories,76.0
77,2.0,44.0,Drain Cleaner,77.0
78,2.0,56.0,Hand Liquid Soap,78.0
