,Unnamed: 0,store_website,description,regular_price,url,image,promotion_quantity,brand,store_name,store_slug,discount,promotion_price,measurement,image_large_url,product_code,availability,store,name,img_file
0,0,http://www.primeonline.com.sg/,Gaviscon Liquid Peppermint,14.75,http://www.primeonline.com.sg/gaviscon-liquid-peppermint.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/g/a/gavisconliquidpeppermint200ml_022100511_main.jpg,,Gaviscon,Prime Supermarket,prime-supermarket,,,200 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/g/a/gavisconliquidpeppermint200ml_022100511_main.jpg,22100511,True,,Gaviscon Liquid Peppermint,gavisconliquidpeppermint200ml_022100511_main.jpg
1,1,http://www.primeonline.com.sg/,Gaviscon Liquid Double Action,14.75,http://www.primeonline.com.sg/gaviscon-liquid-double-action.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/g/a/gavisconliqdoubleaction150ml_022100512_main_2.jpg,,Gaviscon,Prime Supermarket,prime-supermarket,,,150 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/g/a/gavisconliqdoubleaction150ml_022100512_main_2.jpg,22100512,True,,Gaviscon Liquid Double Action,gavisconliqdoubleaction150ml_022100512_main_2.jpg
2,2,http://www.primeonline.com.sg/,Vaseline Intensive Care - Aloe Soothe,8.95,http://www.primeonline.com.sg/vaseline-intensive-care-aloe-soothe-3690.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/v/a/vaselineintensivecarealoesooth400ml_030700201_main.jpg,,Vaseline,Prime Supermarket,prime-supermarket,,,400 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/v/a/vaselineintensivecarealoesooth400ml_030700201_main.jpg,30700201,True,,Vaseline Intensive Care - Aloe Soothe,vaselineintensivecarealoesooth400ml_030700201_main.jpg
3,3,http://www.primeonline.com.sg/,A1 Vegetarian Soup Spices,3.6,http://www.primeonline.com.sg/a1-vegetarian-soup-spices.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/1/a1vegetarianbak40g_021501494_main.jpg,,Lee Kum Kee,Prime Supermarket,prime-supermarket,3.25,,40 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/1/a1vegetarianbak40g_021501494_main.jpg,21501494,True,,A1 Vegetarian Soup Spices,a1vegetarianbak40g_021501494_main.jpg
4,4,http://www.primeonline.com.sg/,Nestle Ice Cream Multipack Milo Cup,3.9,http://www.primeonline.com.sg/nestle-ice-cream-multipack-milo-cup.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/n/e/nestleicecreamultipackmilocup4sx105ml_010700106_main.jpg,,Milo,Prime Supermarket,prime-supermarket,,,4s x 105ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/n/e/nestleicecreamultipackmilocup4sx105ml_010700106_main.jpg,10700106,True,,Nestle Ice Cream Multipack Milo Cup,nestleicecreamultipackmilocup4sx105ml_010700106_main.jpg
5,5,http://www.primeonline.com.sg/,Tena Value Adult Diapers (M),10.1,http://www.primeonline.com.sg/tena-adult-diapers-value-medium-8205.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/t/e/tenaadultdiapersmedium12s_032600025_main_3.jpg,,Tena,Prime Supermarket,prime-supermarket,,,12s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/t/e/tenaadultdiapersmedium12s_032600025_main_3.jpg,32600025,True,,Tena Value Adult Diapers (M),tenaadultdiapersmedium12s_032600025_main_3.jpg
6,6,http://www.primeonline.com.sg/,Tena Value Adult Diapers (L),10.1,http://www.primeonline.com.sg/tena-adult-diapers-value-large.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/t/e/tenaadultdiaperslarge10s_032600008_main_3.jpg,,Tena,Prime Supermarket,prime-supermarket,,,10 s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/t/e/tenaadultdiaperslarge10s_032600008_main_3.jpg,32600008,True,,Tena Value Adult Diapers (L),tenaadultdiaperslarge10s_032600008_main_3.jpg
7,7,http://www.primeonline.com.sg/,Tiger Balm White,3.0,http://www.primeonline.com.sg/tiger-balm-white.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/t/i/tigerbalmwhite19.4g_022100211_main_2.jpg,,Tiger,Prime Supermarket,prime-supermarket,,,19.4 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/t/i/tigerbalmwhite19.4g_022100211_main_2.jpg,22100211,True,,Tiger Balm White,tigerbalmwhite19.4g_022100211_main_2.jpg
8,8,http://www.primeonline.com.sg/,Mozquit Mosquitoes Repellent Aqua Spray,8.8,http://www.primeonline.com.sg/mozquit-mosquitoes-repellent-aqua-spray.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/o/mozquitmosquitospray120ml_031600298_main.jpg,,Mozquit,Prime Supermarket,prime-supermarket,,,120 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/o/mozquitmosquitospray120ml_031600298_main.jpg,31600298,False,,Mozquit Mosquitoes Repellent Aqua Spray,mozquitmosquitospray120ml_031600298_main.jpg
9,9,http://www.primeonline.com.sg/,Tena Disposable Pants Normal (XL),25.95,http://www.primeonline.com.sg/tena-disposable-pants-normal-xl.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/t/e/tenadisposablepantsextralarge15s_032600029_main_3.jpg,,Tena,Prime Supermarket,prime-supermarket,19.9,,15 s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/t/e/tenadisposablepantsextralarge15s_032600029_main_3.jpg,32600029,True,,Tena Disposable Pants Normal (XL),tenadisposablepantsextralarge15s_032600029_main_3.jpg
