,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,category,sku,store_website,description,regular_price,url,image,promotion_quantity,brand,store_name,store_slug,discount,store,measurement,image_large_url,product_code,availability,promotion_price,name,img_file
0,0,0,0,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Chrono Gastric? is formulated to act? very quickly on the balance of the stomach pH and is recommended to promote good gastric acidity.? It relieves stomach,22.0,https://www.quartier.sg/products/activachronogastric,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_GASTRIC_300x.jpg?v=1487648034,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_GASTRIC.jpg?v=1487648034,8738402248,True,,ACTIVA CHRONO GASTRIC,ACTIVA_CHRONO_GASTRIC_300x.jpg
1,1,1,1,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Activa Well Being Hair is here to help you fight hair loss, stimulate growth of existing and new hair and improve hair quality &amp; vitality naturally.? The nou",38.0,https://www.quartier.sg/products/activawellbeinghair,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_HAIR_300x.jpg?v=1487652537,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_HAIR.jpg?v=1487652537,8738401672,True,,ACTIVA WELL BEING HAIR,ACTIVA_WELL_BEING_HAIR_300x.jpg
2,2,2,2,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Acerola, a natural Vitamin C contributing to a normal immunity, helping to reduce fatigue and promoting the protection of cells against oxidative stress.",30.0,https://www.quartier.sg/products/activaacerolavitc30,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_ACEROLA_STARTER_300x.jpg?v=1487652383,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_ACEROLA_STARTER.jpg?v=1487652383,8738402120,True,,ACTIVA ACEROLA STARTER,ACTIVA_ACEROLA_STARTER_300x.jpg
3,3,3,3,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Well Being Immunity is a natural way to strengthen the body???s? defenses? and boost? the body???s ability to fight infection and help sooth the airways.,38.0,https://www.quartier.sg/products/activawellbeingimmunity,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_IMMUNITY_300x.jpg?v=1487652652,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_IMMUNITY.jpg?v=1487652652,8738401352,True,,ACTIVA WELL BEING IMMUNITY,ACTIVA_WELL_BEING_IMMUNITY_300x.jpg
4,4,4,4,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Difficulties or lack of sleep lead to reduced vitality! Activa Well Being Sleep has shown to help many people restore their sleeping habits and give an end to s,38.0,https://www.quartier.sg/products/activawellbeingsleep,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_SLEEP_300x.jpg?v=1487652905,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_SLEEP.jpg?v=1487652905,8738400008,True,,ACTIVA WELL BEING SLEEP,ACTIVA_WELL_BEING_SLEEP_300x.jpg
5,5,5,5,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Supports healthy joints with flexibility, pain relief, strong cartilage but most importantly reduction of inflammation. Joint inflammation is often the source o",38.0,https://www.quartier.sg/products/activawellbeingjoint,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_ARTICULAR_JOINT_300x.jpg?v=1487649887,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_ARTICULAR_JOINT.jpg?v=1487649887,8738400456,True,,ACTIVA WELL BEING JOINT,ACTIVA_WELL_BEING_ARTICULAR_JOINT_300x.jpg
6,6,6,6,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Avtiva Well Being Slimness helps to refine shape and reduce the appearance of ???orange-peel??? skin, promotes release and elimination of facts by increasing the me",38.0,https://www.quartier.sg/products/activawellbeingslimness,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_SLIMNESS_300x.jpg?v=1487653030,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_SLIMNESS.jpg?v=1487653030,8738400840,True,,ACTIVA WELL BEING SLIMNESS,ACTIVA_WELL_BEING_SLIMNESS_300x.jpg
7,7,7,7,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Well-Being? is a unique natural range based on a totally new concept? called PhytoVitality. Well-Being sun helps skin tanned and contributes to keeping ski,38.0,https://www.quartier.sg/products/activawellbeingsun30,https://cdn.shopify.com/s/files/1/1703/4031/products/25f165abbf52eebfc3450815cd0524e0abd6602d_300x.jpg?v=1492074852,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/25f165abbf52eebfc3450815cd0524e0abd6602d.jpg?v=1492074852,9268191240,True,,ACTIVA WELL BEING SUN 30,25f165abbf52eebfc3450815cd0524e0abd6602d_300x.jpg
8,8,8,8,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Well Being Respiration is the natural solution to help you breathe more easily. Soothes your airways and soften your throat naturally. With an 8-hours ex,38.0,https://www.quartier.sg/products/activawellbeingrespiration,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_RESPIRATION_300x.jpg?v=1487652777,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_RESPIRATION.jpg?v=1487652777,8738400200,True,,ACTIVA WELL BEING RESPIRATION,ACTIVA_WELL_BEING_RESPIRATION_300x.jpg
9,9,9,9,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Activa Well Being Elimination is a special combination of 4 plants to eliminate of bacteria growing on the bladder wall, increase urine volume, calm inflammatio",38.0,https://www.quartier.sg/products/activawellbeingelimination,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_Well_Being_Elimination_300x.jpg?v=1487652158,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_Well_Being_Elimination.jpg?v=1487652158,8738401160,True,,ACTIVA WELL BEING ELIMINATION,ACTIVA_Well_Being_Elimination_300x.jpg
10,10,10,10,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Time to relieve stomachache, indigestion, abdominal bloating &amp; heaviness. Activa Well Being Digestion is a complex of 3 plants with time-honored beneficial",38.0,https://www.quartier.sg/products/activawellbeingdigestion,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_DIGESTION_300x.jpg?v=1487651937,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_DIGESTION.jpg?v=1487651937,8738400392,True,,ACTIVA WELL BEING DIGESTION,ACTIVA_WELL_BEING_DIGESTION_300x.jpg
11,11,11,11,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Start your detox program today with Activa well Being Detox! Oxidative stress, pollution, chemicals, over-eating and stress accumulate in the body. Toxins build",38.0,https://www.quartier.sg/products/activawellbeingdetox,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_DETOX_300x.jpg?v=1487650474,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_DETOX.jpg?v=1487650474,8738401608,True,,ACTIVA WELL BEING DETOX,ACTIVA_WELL_BEING_DETOX_300x.jpg
12,12,12,12,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,"Start taking care of your legs with Activa Well Being Circulation,? a natural solution to reduce? ???Heavy legs??? feeling, swelling and strengthens capillary and vei",38.0,https://www.quartier.sg/products/activawellbeingcirculation,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_CIRCULATION_300x.jpg?v=1487650136,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_WELL_BEING_CIRCULATION.jpg?v=1487650136,8738400712,True,,ACTIVA WELL BEING CIRCULATION,ACTIVA_WELL_BEING_CIRCULATION_300x.jpg
13,13,13,13,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Chrono Transit is formulated to act? very quickly to promote good intestinal transit and help to combat occasional constipation.?  Activa Chrono Transit pa,22.0,https://www.quartier.sg/products/activachronotransit,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_TRANSIT_300x.jpg?v=1487648828,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_TRANSIT.jpg?v=1487648828,8738402376,True,,ACTIVA CHRONO TRANSIT,ACTIVA_CHRONO_TRANSIT_300x.jpg
14,14,14,14,SUPPLEMENTS,3.40E+12,https://www.quartier.sg,Activa Chrono Serenity is formulated to act very quickly on various? stress mechanisms. It promotes? physical and mental well-being? to restore calm and relaxation,22.0,https://www.quartier.sg/products/activachronoserenity,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_SERENITY_300x.jpg?v=1487648563,,ACTIVA,Quartier,quartier,,,,https://cdn.shopify.com/s/files/1/1703/4031/products/ACTIVA_CHRONO_SERENITY.jpg?v=1487648563,8738402504,True,,ACTIVA CHRONO SERENITY,ACTIVA_CHRONO_SERENITY_300x.jpg
15,15,15,15,CHEESE,3.07E+12,https://www.quartier.sg,APERICUBE 24 CUBES CHEESE,6.5,https://www.quartier.sg/products/apericube24provencal125g,https://cdn.shopify.com/s/files/1/1703/4031/products/APERICUBE_24_PROVENCAL_125G_300x.jpg?v=1487665729,,APERICUBE,Quartier,quartier,,,125G,https://cdn.shopify.com/s/files/1/1703/4031/products/APERICUBE_24_PROVENCAL_125G.jpg?v=1487665729,8738343240,True,,APERICUBE 24 PROVENCAL 125G,APERICUBE_24_PROVENCAL_125G_300x.jpg
